,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS
68,H0AZ01259,"GOSAR, PAUL ANTHONY ANTHONY",C,2.0,REP,1173026.19,37557.86,1172286.68,0.0,0.0,739.51,19496.7,4000.0,0.0,4000.0,0.0,58770.78,761949.76,AZ,01,,W,,W,49.0,330100.0,16291.25,2010-12-31,5024.0,5166.65
78,H4AZ04024,"FRANKS, TRENT",I,2.0,REP,965568.88,0.0,1029036.85,0.0,79125.51,15657.54,0.0,0.0,0.0,40000.0,0.0,379255.18,758774.91,AZ,02,,W,,W,94.0,205195.59,100.0,2010-12-31,0.0,0.0
79,H0AZ03305,"HULBURD, JON",O,1.0,DEM,1670024.12,0.0,1647489.95,0.0,0.0,22534.17,13354.08,500000.0,0.0,0.0,0.0,500000.0,1038251.49,AZ,03,,W,,L,41.0,108408.55,10000.0,2010-12-31,2200.0,0.0
85,H0AZ03362,"QUAYLE, BEN",O,2.0,REP,2653070.2,24700.0,2645463.16,0.0,0.0,7607.04,4800.0,1223.13,0.0,0.0,0.0,27364.98,2332931.0,AZ,03,,W,,W,52.0,286942.3,221.88,2010-12-31,30216.67,1000.0
92,H2AZ02055,"PASTOR, ED L",I,1.0,DEM,1014290.67,0.0,1092555.25,0.0,1470200.87,1391936.29,0.0,0.0,0.0,0.0,0.0,0.0,384952.28,AZ,04,,W,,W,66.0,597829.17,0.0,2010-12-31,2075.0,1000.0
93,H0AZ04493,"CONTRERAS, JANET L",C,2.0,REP,82895.64,0.0,82858.12,0.0,0.0,37.52,10.0,25110.0,0.0,2000.0,0.0,23110.0,52760.64,AZ,04,,W,,L,27.0,5015.0,0.0,2010-12-31,0.0,0.0
95,H6AZ05067,"MITCHELL, HARRY E.",I,1.0,DEM,2174509.0,27528.84,2308400.3,0.0,133963.97,72.67,0.0,0.0,0.0,0.0,0.0,0.0,1367975.54,AZ,05,,W,,L,43.0,752338.25,5967.43,2010-12-31,4740.0,28000.0
101,H4AZ06045,"SCHWEIKERT, DAVID",C,2.0,REP,1732731.48,31810.28,1721363.62,0.0,4715.47,16083.33,50000.0,250000.0,0.0,0.0,0.0,523000.0,1067174.85,AZ,05,,W,,W,52.0,315072.05,8581.0,2010-12-31,2400.0,0.0
103,H0AZ01184,"FLAKE, JEFF MR.",I,2.0,REP,538758.2,0.0,774230.95,0.0,863325.27,627851.61,0.0,0.0,0.0,0.0,0.0,0.0,495242.98,AZ,06,,W,,W,66.0,42459.16,0.0,2010-12-31,30.0,0.0
106,H2AZ07070,"GRIJALVA, RAUL M",I,1.0,DEM,1470861.03,0.0,1463648.18,0.0,23058.92,30271.77,0.0,0.0,0.0,0.0,0.0,0.0,890107.36,AZ,07,,W,,W,50.0,555282.21,676.35,2010-12-31,4490.0,900.0
107,H0AZ07017,"MCCLUNG, RUTH CRAWFORD",C,2.0,REP,732607.51,0.0,684747.7,0.0,0.0,48223.15,5754.01,0.0,0.0,0.0,0.0,2301.75,678328.5,AZ,07,,W,,L,44.0,48525.0,0.0,2010-12-31,2450.0,0.0
109,H8AZ07028,"MEYER, HARLEY DEAN",C,3.0,IND,8820.0,0.0,8407.76,0.0,0.0,412.24,0.0,8820.0,0.0,0.0,0.0,8820.0,0.0,AZ,07,,,,L,2.0,0.0,0.0,2010-09-30,0.0,0.0
110,H6AZ08038,"GIFFORDS, GABRIELLE",I,1.0,DEM,3504409.93,0.0,3888405.81,0.0,669497.12,285501.24,0.0,0.0,0.0,0.0,0.0,0.0,2286026.49,AZ,08,,W,,W,48.0,1082679.96,920.49,2010-12-31,11091.0,0.0
111,H0AZ08015,"KELLY, JESSE",C,2.0,REP,1692503.57,24469.19,1653552.57,0.0,0.0,38951.0,11060.0,0.0,0.0,0.0,0.0,0.0,1468710.38,AZ,08,,W,,L,47.0,178787.0,6000.0,2010-12-31,4020.14,0.0
116,H8CA01109,"THOMPSON, MIKE MR.",I,1.0,DEM,1912475.17,0.0,1901459.62,0.0,1111839.47,1122855.02,0.0,0.0,0.0,0.0,0.0,48104.66,930572.53,CA,01,,W,,W,62.0,932607.67,100.0,2010-12-31,10065.0,0.0
117,H0CA01148,"HANKS, LOREN L",C,2.0,REP,114869.11,0.0,109276.65,0.0,0.0,5591.37,35.0,3100.0,0.0,0.0,0.0,9988.25,107047.68,CA,01,,W,,L,31.0,500.0,2036.43,2010-12-31,500.0,0.0
118,H0CA02138,"REED, JAMES E",C,1.0,DEM,155353.75,0.0,153434.67,0.0,0.0,1919.08,5499.8,89350.0,0.0,17800.0,0.0,74510.0,56035.11,CA,02,,W,,L,42.0,3918.84,500.0,2010-12-31,0.0,0.0
120,H6CA02010,"HERGER, WALLY",I,2.0,REP,1010414.59,0.0,863128.49,0.0,270109.46,417395.56,0.0,0.0,0.0,0.0,0.0,0.0,317819.37,CA,02,,W,,W,57.0,686747.22,49.5,2010-12-31,100.0,5000.0
121,H0CA03078,"BERA, AMERISH",C,1.0,DEM,2942764.14,29535.44,2935828.38,0.0,0.0,6935.76,176541.13,250000.0,0.0,0.0,0.0,275830.85,2026150.95,CA,03,,W,,L,43.0,432288.18,924.13,2010-12-31,7546.0,0.0
125,H6CA34112,"LUNGREN, DANIEL E.",I,2.0,REP,2025541.46,36702.11,1974501.49,0.0,24291.01,75330.98,0.0,0.0,0.0,0.0,0.0,61869.51,1010136.71,CA,03,,W,,W,50.0,977211.53,0.0,2010-12-31,1250.0,8252.5
126,H0CA04134,"CURTIS, CLINT",C,1.0,DEM,32176.0,0.0,24671.68,0.0,0.0,0.0,0.0,1800.0,0.0,0.0,0.0,0.0,14026.0,CA,04,,W,,L,31.0,11000.0,5350.0,2010-11-23,0.0,0.0
129,H8CA04152,"MCCLINTOCK, THOMAS",I,2.0,REP,1871673.55,0.0,1703386.7,0.0,139157.09,307364.34,0.0,0.0,0.0,0.0,0.0,0.0,1726051.25,CA,04,,W,,W,61.0,140627.67,80.0,2010-12-31,21635.0,2400.0
130,H0CA04159,"EMERY, BENJAMIN 'BEN'",C,3.0,GRE,12382.0,0.0,10330.0,0.0,110.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,12382.0,CA,04,,W,,L,7.0,0.0,0.0,2010-12-31,0.0,0.0
131,H6CA05195,"MATSUI, DORIS",I,1.0,DEM,835400.43,0.0,842505.42,0.0,153888.28,146783.29,0.0,0.0,0.0,0.0,0.0,1400.0,265998.6,CA,05,,W,,W,72.0,566780.0,0.0,2010-12-31,2150.0,1000.0
133,H8CA05159,"SMITH, PAUL",C,2.0,REP,23941.29,0.0,24334.3,0.0,393.01,0.0,8468.64,1300.0,0.0,4800.0,0.0,0.0,12032.46,CA,05,,W,,L,25.0,1740.0,0.0,2010-11-18,194.15,0.0
134,H2CA01045,"WOOLSEY, LYNN C.",I,1.0,DEM,846466.17,0.0,898626.51,0.0,70633.51,58695.98,400.0,0.0,0.0,0.0,0.0,0.0,529630.76,CA,06,,W,,W,65.0,314884.58,0.0,2010-12-31,10.0,0.0
135,H0CA06097,"JUDD, JAMES O JR.",C,2.0,REP,151842.86,0.0,151842.86,0.0,0.0,0.0,0.0,9750.0,0.0,0.0,0.0,0.0,140516.09,CA,06,,W,,L,29.0,0.0,1500.0,2010-11-29,3600.0,0.0
137,H6CA07043,"MILLER, GEORGE",I,1.0,DEM,972502.15,0.0,1008838.16,0.0,384186.62,347850.61,0.0,0.0,0.0,0.0,0.0,5495.43,392348.26,CA,07,,W,,W,68.0,570731.13,0.0,2010-12-31,200.0,0.0
139,H0CA07103,"TUBBS, RICHARD STEPHEN II",C,2.0,REP,130514.55,0.0,130514.55,0.0,0.0,0.0,0.0,22433.75,0.0,22023.77,0.0,0.0,96012.85,CA,07,,W,,L,31.0,11021.9,0.0,2010-12-31,220.0,0.0
141,H8CA05035,"PELOSI, NANCY",I,1.0,DEM,2597318.64,1147.36,2762400.22,0.0,315712.1,150630.52,0.0,0.0,0.0,0.0,0.0,0.0,1035867.42,CA,08,,W,,W,80.0,1548100.0,2500.0,2010-12-31,4880.0,2100.0
142,H0CA08069,"DENNIS, JOHN",C,2.0,REP,2438013.43,48.0,2311477.24,0.0,0.0,126536.19,0.0,50000.0,0.0,0.0,0.0,50000.0,2370536.21,CA,08,,W,,L,15.0,9135.0,0.0,2010-12-31,5035.12,0.0
145,H8CA09060,"LEE, BARBARA",I,1.0,DEM,1156048.78,0.0,1156304.13,0.0,26611.9,26356.55,0.0,0.0,0.0,0.0,0.0,0.0,704362.36,CA,09,,W,,W,84.0,423781.19,0.0,2010-12-31,7675.0,1200.0
150,H0CA10149,"GARAMENDI, JOHN",I,1.0,DEM,1764504.06,0.0,1714971.13,0.0,0.0,49382.93,0.0,0.0,0.0,0.0,0.0,14427.2,1116120.33,CA,10,W,W,,W,58.0,630523.74,315.64,2010-12-31,450.0,0.0
154,H0CA10180,"CLIFT, GARY WILLIAM",C,2.0,REP,53250.0,0.0,53249.0,0.0,0.0,0.0,5296.0,27538.0,0.0,16580.0,0.0,0.0,14040.0,CA,10,,W,,L,37.0,500.0,999.0,2010-12-07,0.0,0.0
159,H4CA11081,"MCNERNEY, JERRY",I,1.0,DEM,3209478.03,12187.89,3098636.5,1400.0,132740.25,243581.78,0.0,0.0,0.0,0.0,0.0,8024.96,1962999.51,CA,11,,W,,W,47.0,918457.21,3224.41,2010-12-31,14297.0,6500.0
160,H0CA10123,"HARMER, DAVID",C,2.0,REP,2931475.07,81139.83,2858560.6,0.0,0.0,71569.37,15416.18,0.0,0.0,0.0,0.0,36660.34,2276734.55,CA,11,,W,,L,46.0,421512.64,5150.0,2010-12-31,11550.0,0.0
168,H8CA12171,"SPEIER, JACKIE",I,1.0,DEM,1060952.74,0.0,772791.25,0.0,671120.46,959278.92,0.0,0.0,0.0,0.0,0.0,10489.47,643207.58,CA,12,,W,,W,75.0,395988.11,9.49,2010-12-31,9104.55,0.0
171,H6CA09023,"STARK, FORTNEY P.",I,1.0,DEM,487385.12,0.0,371118.55,0.0,418737.9,535004.47,0.0,0.0,0.0,0.0,0.0,0.0,44419.83,CA,13,,W,,W,72.0,433950.0,0.0,2010-12-31,-615.01,0.0
174,H8CA12098,"ESHOO, ANNA",I,1.0,DEM,1464392.73,0.0,1395749.44,0.0,444636.57,513279.86,0.0,0.0,0.0,0.0,0.0,5400.88,687662.37,CA,14,,W,,W,69.0,769648.49,104.77,2010-12-31,10100.0,100.0
175,H0CA15148,"HONDA, MIKE",I,1.0,DEM,773920.65,0.0,850364.24,0.0,282632.04,206188.45,0.0,0.0,0.0,0.0,0.0,0.0,423822.23,CA,15,,W,,W,67.0,343762.89,429.96,2010-12-31,4801.0,1500.0
178,H0CA15205,"KIRKLAND, SCOTT SPENCER",C,2.0,REP,66867.0,0.0,66867.0,0.0,0.0,0.0,11450.0,0.0,0.0,0.0,0.0,10780.28,50787.0,CA,15,,W,,L,32.0,0.0,0.0,2010-12-31,0.0,0.0
179,H4CA16049,"LOFGREN, ZOE",I,1.0,DEM,782099.68,0.0,790373.93,0.0,351253.67,342979.42,0.0,0.0,0.0,0.0,0.0,0.0,365017.35,CA,16,,W,,W,67.0,397666.49,0.0,2010-12-31,2500.0,0.0
180,H0CA16096,"GONZALEZ, EDWARD M",C,3.0,LIB,35177.99,0.0,35177.99,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,34092.76,CA,16,,W,,L,7.0,0.0,500.0,2010-12-31,0.0,0.0
181,H4CA17021,"FARR, SAM",I,1.0,DEM,704176.78,13182.48,718568.64,0.0,79837.0,65445.14,0.0,0.0,0.0,0.0,0.0,100.0,292678.98,CA,17,,W,,W,66.0,396116.33,24.47,2010-12-31,5332.13,0.0
183,H8CA17089,"TAYLOR, JEFFREY E",C,2.0,REP,183520.35,0.0,176754.18,0.0,5358.16,12124.33,0.0,148286.25,0.0,0.0,0.0,263562.28,33816.1,CA,17,,W,,L,26.0,50.0,0.0,2010-12-31,0.0,0.0
184,H2CA18056,"CARDOZA, DENNIS",I,1.0,DEM,1180308.37,0.0,1420229.82,0.0,287434.07,47512.62,0.0,0.0,0.0,0.0,0.0,0.0,448465.05,CA,18,,W,,W,58.0,727335.34,2000.0,2010-12-31,1800.0,1235.17
185,H0CA18050,"BERRYHILL, MICHAEL CLARE SR",C,2.0,REP,930355.02,0.0,929661.61,0.0,0.0,50.87,0.0,759500.0,0.0,590000.0,0.0,169500.0,158305.02,CA,18,,W,,L,41.0,7550.0,5000.0,2010-12-31,0.0,0.0
187,H0CA19132,"GOODWIN, LORAINE",O,1.0,DEM,44517.0,0.0,46862.0,85.0,0.0,0.0,55599.0,750.0,0.0,0.0,0.0,0.0,578.0,CA,19,,W,,L,35.0,0.0,0.0,2010-12-02,0.0,0.0
190,H0CA19173,"DENHAM, JEFF",O,2.0,REP,1256669.57,0.0,1210088.28,0.0,0.0,46581.29,0.0,150000.0,0.0,150000.0,0.0,53500.05,725889.76,CA,19,,W,,W,64.0,379140.2,0.0,2010-12-31,2600.0,400.0
194,H4CA20082,"COSTA, JIM MR.",I,1.0,DEM,1845156.04,29087.0,2126986.04,0.0,309232.4,27402.4,0.0,75000.0,0.0,50000.0,0.0,53510.51,842791.57,CA,20,,W,,W,51.0,800085.34,0.0,2010-12-31,2775.0,10000.0
197,H0CA20098,"VIDAK, JAMES ANDREW",C,2.0,REP,900647.9,0.0,894969.44,0.0,0.0,5678.46,0.0,3143.68,0.0,3143.68,0.0,10296.16,787701.91,CA,20,,W,,L,48.0,97180.55,5000.0,2010-12-31,9450.0,0.0
200,H8CA20059,"NUNES, DEVIN G",I,2.0,REP,1223375.95,0.0,994286.53,0.0,784763.3,1013852.72,0.0,0.0,0.0,0.0,0.0,0.0,460438.49,CA,21,,W,,W,100.0,737981.98,0.0,2010-12-31,100.0,0.0
201,H6CA22125,"MCCARTHY, KEVIN",I,2.0,REP,2093468.37,1900.7,1736571.18,0.0,800432.95,1158230.14,0.0,0.0,0.0,0.0,0.0,9415.99,788858.51,CA,22,,,,W,100.0,1264827.72,372.5,2010-12-31,7750.0,0.0
202,H8CA22089,"CAPPS, LOIS G",I,1.0,DEM,955564.7,0.0,991078.62,0.0,356528.62,321009.75,0.0,0.0,0.0,0.0,0.0,0.0,519493.26,CA,23,,W,,W,57.0,417755.8,0.0,2010-12-31,150.0,0.0
205,H0CA23118,"WATSON, THOMAS C",C,2.0,REP,611864.23,0.0,607298.83,0.0,0.0,4565.4,25.0,0.0,0.0,0.0,0.0,0.0,591102.85,CA,23,,W,,L,37.0,9900.0,1000.0,2010-12-31,7550.0,0.0
207,H0CA23159,"HAGER, JOHN VICTOR",C,3.0,IND,113363.72,0.0,116599.76,0.0,1130.57,-2105.47,0.0,0.0,0.0,0.0,0.0,0.0,113363.72,CA,23,,,,L,2.0,0.0,0.0,2010-12-31,0.0,0.0
209,H0CA24116,"ALLISON, TIMOTHY JAMES",C,1.0,DEM,183711.03,0.0,180025.88,0.0,0.0,6085.15,0.0,8581.36,0.0,0.0,0.0,17462.03,152182.79,CA,24,,W,,L,40.0,22099.0,0.0,2010-12-31,0.0,0.0
213,H6CA21028,"GALLEGLY, ELTON",I,2.0,REP,783256.55,0.0,811193.84,0.0,778746.28,750808.99,0.0,0.0,0.0,0.0,0.0,0.0,602855.8,CA,24,,W,,W,59.0,152034.12,0.0,2010-12-31,0.0,0.0
214,H8CA25058,"CONAWAY, JACQUESE LYNN",C,1.0,DEM,3890.0,0.0,4171.99,0.0,475.0,231.0,0.0,0.0,2300.0,0.0,0.0,4850.0,1590.0,CA,25,,W,,L,38.0,0.0,0.0,2010-12-31,0.0,0.0
215,H2CA25036,"MCKEON, HOWARD P 'BUCK'",I,2.0,REP,1254631.31,26967.81,1334101.08,91.62,372347.94,292878.17,0.0,0.0,0.0,0.0,0.0,0.0,628901.77,CA,25,,W,,W,61.0,592700.0,0.0,2010-12-31,250.0,0.0
216,H6CA26183,"WARNER, RUSS",C,1.0,DEM,315157.48,0.0,217192.1,0.0,2884.78,100850.16,29532.37,0.0,0.0,10000.0,0.0,0.0,280057.7,CA,26,,W,,L,36.0,3600.0,0.0,2010-12-31,0.0,0.0
217,H8CA35032,"DREIER, DAVID",I,2.0,REP,1243191.47,0.0,1391075.52,100000.0,902479.08,754595.03,0.0,0.0,0.0,0.0,0.0,0.0,649384.0,CA,26,,W,,W,54.0,527669.22,0.0,2010-12-31,14400.0,2500.0
218,H0CA26087,"MILLER, DAVID LAWRENCE",C,3.0,IND,42073.58,0.0,41782.43,24410.49,0.0,291.15,0.0,36672.88,0.0,0.0,0.0,36672.88,5348.7,CA,26,,W,,L,6.0,0.0,0.0,2010-12-31,0.0,0.0
220,H6CA24113,"SHERMAN, BRAD",I,1.0,DEM,1743592.33,0.0,818272.53,0.0,2093212.92,3018532.72,0.0,0.0,0.0,0.0,0.0,0.0,1103788.19,CA,27,,W,,W,65.0,547836.97,0.0,2010-12-31,0.0,0.0
221,H0CA27101,"REED, MARK STEVEN SR",C,2.0,REP,112836.83,0.0,107133.9,0.0,0.0,3469.93,0.0,0.0,0.0,0.0,0.0,0.0,107377.49,CA,27,,W,,L,34.0,0.0,300.0,2010-12-31,1820.0,0.0
224,H2CA26026,"BERMAN, HOWARD L.",I,1.0,DEM,1914073.09,0.0,1124914.9,0.0,310255.26,1099413.45,0.0,0.0,0.0,0.0,0.0,5062.34,1343555.42,CA,28,,W,,W,69.0,555929.6,121.93,2010-12-31,12300.0,0.0
225,H0CA28091,"FROYD, ERIK MERLIN",C,2.0,REP,39635.54,0.0,39508.86,140.0,0.0,126.68,8000.0,0.0,0.0,0.0,0.0,0.0,31571.54,CA,28,,W,,L,22.0,0.0,13.0,2010-12-31,0.0,0.0
227,H0CA27085,"SCHIFF, ADAM",I,1.0,DEM,1378951.49,0.0,1222795.04,0.0,1652829.27,1808985.72,0.0,0.0,0.0,0.0,0.0,0.0,854414.4,CA,29,,W,,W,64.0,493500.0,0.0,2010-12-31,1300.0,0.0
228,H0CA29099,"COLBERT, JOHN",C,2.0,REP,675595.25,0.0,671227.53,0.0,0.0,4367.72,50.0,315000.0,0.0,0.0,0.0,326734.09,354075.91,CA,29,,W,,L,31.0,5699.0,770.0,2010-12-31,3200.0,99.0
229,H6CA24048,"WAXMAN, HENRY A.",I,1.0,DEM,1538103.27,0.0,1440465.32,0.0,898381.45,992019.4,0.0,0.0,0.0,0.0,0.0,11584.38,427434.98,CA,30,,W,,W,64.0,1090247.51,0.0,2010-12-31,1000.0,0.0
234,H0CA30105,"WILKERSON, CHARLES EDWARD",C,2.0,REP,378043.15,0.0,376986.91,0.0,0.0,1056.24,0.0,323069.14,0.0,16134.63,0.0,306934.51,54974.01,CA,30,,,,L,31.0,0.0,0.0,2010-12-31,0.0,0.0
235,H0CA30113,"MILLER, ERICH D",C,3.0,LIB,13516.57,0.0,8878.85,0.0,0.0,89.59,0.0,4743.0,0.0,0.0,0.0,0.0,4679.57,CA,30,,W,,L,2.0,0.0,0.0,2010-11-22,0.0,0.0
236,H2CA30143,"BECERRA, XAVIER",I,1.0,DEM,1716196.21,0.0,1699464.63,0.0,605199.22,621930.8,0.0,0.0,0.0,0.0,0.0,0.0,574905.61,CA,31,,W,,W,83.0,1105550.0,91.54,2010-12-31,2400.0,0.0
237,H0CA31111,"SMITH, STEPHEN CARLTON",C,2.0,REP,15361.0,0.0,14451.72,0.0,0.0,907.67,100.0,600.0,0.0,600.0,0.0,274.99,14211.0,CA,31,,W,,L,16.0,0.0,0.0,2010-11-22,0.0,0.0
238,H0CA32101,"CHU, JUDY",I,1.0,DEM,2502170.51,0.0,1910356.68,0.0,0.0,591813.83,0.0,0.0,50000.0,50000.0,0.0,0.0,1733980.04,CA,32,W,W,,W,71.0,672085.0,0.0,2010-12-31,5100.0,1000.0
